Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stupeň pôvodnosti;Stupeň spracovania;Technika;Vlastník;Výtvarný druh;Značenie;Žáner
"Galanda, Mikuláš";"1933";"20. storočie, 1. polovica, 1933";"10.6.1964";;;;"O 2611";"56. NK";"Bajcurová, Katarína";"preglejka";"výška 29.5 cm; šírka 24.5 cm";"10.6.1964";"Pijan";"Pijan | Drunkard (Preklad názvu)";"SNG";"SVK:SNG.O_2611";"POZN: ";"4556";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1924 - 1926";"20. storočie, 1. polovica, 1924-1926";"20.12.1967";;;;"O 3284";"73. NK";"Bajcurová, Katarína";"plátno";"výška 21.3 cm; šírka 31.5 cm";"20.12.1967";"Tri fázy života ženy";"Tri fázy života ženy | The Three Stages of a Woman's Life (Preklad názvu)";"SNG";"SVK:SNG.O_3284";"POZN: ";"7325";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"neoznačené";"alegorická kompozícia"
"Galanda, Mikuláš";"1928 - 1948";"20. storočie, 1. polovica, 1938 okolo";"7.12.1964";;;;"O 2942";"64. NK";"Bajcurová, Katarína";"plátno";"výška 52.0 cm; šírka 40.0 cm";"7.12.1964";"Matkino objatie";"Matkino objatie | Mother's Embrace (Preklad názvu)";"SNG";"SVK:SNG.O_2942";"POZN: ";"6059";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"neoznačené";"figurálna kompozícia"
"Galanda, Mikuláš";"1929 - 1930";"20. storočie, 1. polovica, 1929-1930";"7.12.1965";;;;"K 5540";"64. NK";"Gregorová-Stachová, Lucia";"papier";"výška 35.5 cm; šírka 42.8 cm";"7.12.1965";"Zátišie s pohárom";"Zátišie s pohárom | Still Life with Glass (Preklad názvu)";"SNG";"SVK:SNG.K_5540";"POZN: 9/doplnená temperou

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 275.";"7326";"kúpa";"originál";"DEF";"tuš; koláž";"Slovenská národná galéria, SNG";"kresba, voľná";"vpravo dole: Galanda";"zátišie"
"Galanda, Mikuláš";"1937 - 1938";"20. storočie, 1. polovica, 1937-1938";"22.11.1957";;;;"O 1312";"28. NK";"Bajcurová, Katarína";"preglejka; plátno";"výška 29.5 cm; šírka 24.5 cm";"22.11.1957";"Stojaca Madona s anjelikmi";"Stojaca Madona s anjelikmi | Standing Madonna with an Angel (Preklad názvu)";"SNG";"SVK:SNG.O_1312";"POZN: ";"1205";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: Galanda";"náboženský motív"
"Galanda, Mikuláš";"1922 - 1942";"20. storočie, 1. polovica, 1932 okolo";;;;;"O 1929";;"Bajcurová, Katarína";"plátno";"výška 60.3 cm; šírka 50.2 cm";"20.4.1961";"Zbojníci";"Zbojníci | Bandits (Preklad názvu)";"SNG";"SVK:SNG.O_1929";"POZN: 

LIT:
Slovenský obraz (anti-obraz) : 20.st. v slovenskom výtvarnom umení. Bratislava : SNG, 2008, 267.";"2544";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"neoznačené";"figurálna kompozícia"
"Galanda, Mikuláš";"1927";"20. storočie, 1. polovica, 1927";;;;;"O 5237";;"Bajcurová, Katarína";"plátno";"výška 52.0 cm; šírka 59.5 cm";"23.5.1975";"V krčme";"V krčme | In an Inn (Preklad názvu)";"SNG";"SVK:SNG.O_5237";"POZN: ";"17529";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda  27";"figurálna kompozícia"
"Galanda, Mikuláš";"1931";"20. storočie, 1. polovica, 1931";;;;;"O 132";;"Bajcurová, Katarína";"plátno";"výška 60.0 cm; šírka 50.0 cm";"28.3.1950";"Češúca sa";"Češúca sa | Ráno; Grooming (Morning) (Preklad názvu)";"SNG";"SVK:SNG.O_132";"POZN: 

LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 170.";"10";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: G bielou farbou";"ženský akt"
"Galanda, Mikuláš";"1929 - 1930";"20. storočie, 1. polovica, 1929-1930";;;;;"O 208";;"Bajcurová, Katarína";"preglejka";"výška 30.0 cm; šírka 40.0 cm";"28.3.1950";"Zátišie s lampou";"Zátišie s lampou | Still Life with a Lamp (Preklad názvu)";"SNG";"SVK:SNG.O_208";"POZN: ";"10";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: monogramom G";"zátišie"
"Galanda, Mikuláš";"1929 - 1931";"20. storočie, 1. polovica, 1929-1931";;"Skicár s rôznymi štúdijnými kresbami";20;4;"K 3216/13";;"Gregorová-Stachová, Lucia";"papier";"výška 17.3 cm; šírka 18.5 cm";;"Skicár s rôznymi štúdijnými kresbami";"Skicár s rôznymi štúdijnými kresbami | Sketchbook with Various Studies (Preklad názvu)";"SNG";"SVK:SNG.K_3216-13";"POZN: 2/ pozri inv.č.: K 3216/1 Galanda M.

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 269.";;;"originál";;"ceruza";"Slovenská národná galéria, SNG";"kresba, prípravná";"";"figurálna kompozícia"
"Galanda, Mikuláš";"1937";"20. storočie, 1. polovica, 1937";;;;;"K 2469";;"Gregorová-Stachová, Lucia";"kartón";"výška 44.0 cm; šírka 31.3 cm";"6.3.1951";"Matka s dieťaťom a kvetom";"Matka s dieťaťom a kvetom | Matka s dieťaťom pri makovici; Mother with a Child and a Flower (Preklad názvu)";"SNG";"SVK:SNG.K_2469";"POZN: 13. - pokračovanie M.Galanda 37

LIT:
Slovenský obraz (anti-obraz) : 20.st. v slovenskom výtvarnom umení. Bratislava : SNG, 2008, 267.";"1486/d/69";"prevod";"originál";"DEF";"gvaš; akvarel; uhoľ";"Slovenská národná galéria, SNG";"kresba, voľná";"v spodnej tretine pri ľavom okraji: ...";"figurálna kompozícia"
"Galanda, Mikuláš";"1918 - 1938";"20. storočie, 1. polovica, 1928 okolo";"10.6.1964";;;;"O 2604";"56. NK";"Bajcurová, Katarína";"plátno; lepenka";"výška 27.8 cm; šírka 21.0 cm";"10.6.1964";"Žena so zvončekami";"Žena so zvončekami | Woman with Bellflowers (Preklad názvu)";"SNG";"SVK:SNG.O_2604";"POZN: ";"4561";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"neoznačené";"ženský akt"
"Galanda, Mikuláš";"1932 - 1933";"20. storočie, 1. polovica, 1932-1933";;;;;"O 5239";;"Bajcurová, Katarína";"plátno";"výška 45.3 cm; šírka 34.8 cm";"23.8.1975";"Zbojníci";"Zbojníci | Robbers (Preklad názvu)";"SNG";"SVK:SNG.O_5239";"POZN: ";"17532";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: G";"figurálna kompozícia"
"Galanda, Mikuláš";"1934";"20. storočie, 1. polovica, 1934";;;;;"O 1930";;"Bajcurová, Katarína";"preglejka";"výška 30.0 cm; šírka 23.6 cm";"20.4.1961";"Šašo";"Šašo | Clown (Preklad názvu)";"SNG";"SVK:SNG.O_1930";"POZN: Autor.značenie:vpravo dole vyrytím do polosuchej  farby:Galanda";"2545";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1924";"20. storočie, 1. polovica, 1924";;"Láska v meste";;;"G 2576";;"Gregorová-Stachová, Lucia";"papier, žltý";"výška 13.8 cm; šírka 9.9 cm";"6.3.1951";"Stretnutie";"Stretnutie | Rendezvous. From the Cycle Love in the City (Preklad názvu)";"SNG";"SVK:SNG.G_2576";"POZN: 

LIT:
Slovenský obraz (anti-obraz) : 20.st. v slovenskom výtvarnom umení. Bratislava : SNG, 2008, 265.";"1486d";"prevod";"originál";"DEF";"litografia";"Slovenská národná galéria, SNG";"grafika, voľná";"vpravo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1924";"20. storočie, 1. polovica, 1924";;"Láska v meste";;;"G 2577";;"Gregorová-Stachová, Lucia";"papier, nažltlý";"výška 13.8 cm; šírka 9.9 cm";"6.3.1951";"Bio";"Bio | Bio. From the Cycle Love in the City (Preklad názvu)";"SNG";"SVK:SNG.G_2577";"POZN: 

LIT:
Slovenský obraz (anti-obraz) : 20.st. v slovenskom výtvarnom umení. Bratislava : SNG, 2008, 265.";"1486d";"prevod";"originál";"DEF";"litografia";"Slovenská národná galéria, SNG";"grafika, voľná";"vpravo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1930 - 1932";"20. storočie, 1. polovica, 1930-1932";"10.6.1964";;;;"O 2598";"56. NK";"Bajcurová, Katarína";"plátno";"výška 30.4 cm; šírka 24.2 cm";"10.6.1964";"Rodina";"Rodina | Family (Preklad názvu)";"SNG";"SVK:SNG.O_2598";"POZN: ";"4534";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: G";"ženský akt | figurálna kompozícia"
"Galanda, Mikuláš";"1929 - 1930";"20. storočie, 1. polovica, 1929-1930 okolo";;;;;"K 2473";;"Gregorová-Stachová, Lucia";"kartón, nahnedlý";"výška 38.2 cm; šírka 30.0 cm";"6.3.1951";"Milenci";"Milenci | Pieseň; Pastorale; Lovers (Song - Pastorale) (Preklad názvu)";"SNG";"SVK:SNG.K_2473";"POZN: ";"1486/d/73";"prevod";"originál";"DEF";"pero, tuš";"Slovenská národná galéria, SNG";"kresba, voľná";"nad dolným okrajom vľavo: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1930 - 1939";"20. storočie, 1. polovica, 1930-1939";"5.12.1967";;;;"O 3257";"73. NK";"Bajcurová, Katarína";"preglejka";"výška 29.6 cm; šírka 24.5 cm";"5.12.1967";"Umývanie vlasov";"Umývanie vlasov | Washing Hair  (Preklad názvu)";"SNG";"SVK:SNG.O_3257";"POZN: 

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 269.";"7276";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda";"ženský akt"
"Galanda, Mikuláš";"1917 - 1937";"20. storočie, 1. polovica, 1927 okolo";"21.4.1959";;;;"O 1528";"34. NK";"Bajcurová, Katarína";"lepenka; plátno";"výška 28.0 cm; šírka 25.0 cm";"21.4.1959";"Hlava dievčaťa";"Hlava dievčaťa | Girl's Head (Preklad názvu)";"SNG";"SVK:SNG.O_1528";"POZN: ";"1526";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: Galanda";"ženský portrét"
"Galanda, Mikuláš";"1935";"20. storočie, 1. polovica, 1935";"23.10.1991";;;;"O 6641";"201. NK";"Bajcurová, Katarína";"plátno";"výška 36.5 cm; šírka 44.0 cm";"23.10.1991";"Jadran";"Jadran | The Adriatic (Preklad názvu)";"SNG";"SVK:SNG.O_6641";"POZN: 

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 271.";"203/91";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";"vľavo dole: G";"krajina | morská krajina"
"Galanda, Mikuláš";"1932";"20. storočie, 1. polovica, 1932";;;;;"O 1931";;"Bajcurová, Katarína";"preglejka";"výška 30.8 cm; šírka 24.9 cm";"20.4.1961";"Matka";"Matka | Mother (Preklad názvu)";"SNG";"SVK:SNG.O_1931";"POZN: ";"2546";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: G";"figurálna kompozícia"
"Galanda, Mikuláš";"1925 - 1945";"20. storočie, 1. polovica, 1935 okolo";"10.6.1964";;;;"O 2605";"56. NK";"Bajcurová, Katarína";"plátno; lepenka";"výška 25.0 cm; šírka 30.0 cm";"10.6.1964";"Zátišie s jabĺčkami";"Zátišie s jabĺčkami | Zelené zátišie; Still Life with Apples (Preklad názvu)";"SNG";"SVK:SNG.O_2605";"POZN: ";"4562";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: Galanda";"zátišie"
"Galanda, Mikuláš";"1920 - 1940";"20. storočie, 1. polovica, 1930 okolo";"8.10.1980";;;;"O 5735";"142. NK";"Bajcurová, Katarína";"plátno";"výška 45.0 cm; šírka 29.0 cm";"8.10.1980";"Chudobná rodina";"Chudobná rodina | Poor Family (Preklad názvu)";"SNG";"SVK:SNG.O_5735";"POZN: 

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 261.";"22836";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1901 - 1950";"20. storočie, 1. polovica";"14.5.1968";;;;"O 3356";"75. NK";"Bajcurová, Katarína";"preglejka";"výška 24.8 cm; šírka 31.0 cm";"14.5.1968";"Podvečer";"Podvečer | Early Evening (Preklad názvu)";"SNG";"SVK:SNG.O_3356";"POZN: ";"7776";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda";"krajina"
"Galanda, Mikuláš";"1926 - 1946";"20. storočie, 1. polovica, 1936 okolo";"14.5.1968";;;;"K 5666";"75. NK";"Gregorová-Stachová, Lucia";"kartón";"výška 44.1 cm; šírka 31.8 cm";"14.5.1968";"Spiaca";"Spiaca";"SNG";"SVK:SNG.K_5666";"POZN: ";"7878";"kúpa";"originál";"DEF";"ceruza";"Slovenská národná galéria, SNG";"kresba, voľná";"vľavo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1923 - 1943";"20. storočie, 1. polovica, 1933 okolo";"17.9.1957";;;;"O 1461";"32. NK";"Bajcurová, Katarína";"lepenka; plátno";"výška 25.0 cm; šírka 19.7 cm";"17.9.1957";"Senníky";"Senníky | Hay Barns (Preklad názvu)";"SNG";"SVK:SNG.O_1461";"POZN: ";"1417";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"neoznačené";"dedinský motív"
